sample_id,condition,task_type,field_match,accuracy,leakage,cmd_valid,unmask_success,latency_sec,input_tokens,output_tokens
B3-032,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.1104,344,106
B3-033,C3,ran_handover_config,0.8,1.0,0.0,1.0,,1.044,415,99
B3-034,C3,ran_handover_config,1.0,0.0,0.0,1.0,,1.1243,335,127
B3-035,C3,ran_handover_config,0.6667,1.0,0.0,1.0,,1.0542,352,88
B3-036,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.0284,335,120
B3-037,C3,ran_handover_config,1.0,0.0,0.0,1.0,,1.0362,332,106
B3-038,C3,ran_handover_config,1.0,1.0,0.0,1.0,,1.2222,391,184
B3-039,C3,slice_policy_config,0.5,1.0,0.0,1.0,,1.1298,330,106
B3-040,C3,slice_policy_config,0.3333,1.0,0.0,1.0,,0.9613,323,83
B3-041,C3,slice_policy_config,0.6667,1.0,0.0,1.0,,1.028,380,83
B3-042,C3,slice_policy_config,1.0,1.0,0.0,1.0,,1.0449,326,91
B3-043,C3,slice_policy_config,0.75,1.0,0.0,1.0,,1.2143,321,97
B3-044,C3,slice_policy_config,0.75,1.0,0.0,1.0,,1.1268,320,112
B3-045,C3,edge_acl_config,1.0,1.0,0.0,1.0,,1.1173,315,97
B3-046,C3,edge_acl_config,1.0,1.0,0.0,1.0,,1.1402,325,130
B3-047,C3,operator_history_config,1.0,1.0,0.0,1.0,,1.1179,331,118
B3-048,C3,operator_history_config,1.0,1.0,0.0,1.0,,1.1231,363,126
B3-049,C3,rag_doc_config,1.0,1.0,0.0,1.0,,1.6885,351,150
B3-050,C3,rag_doc_config,1.0,0.0,0.0,1.0,,1.5237,407,135
